timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670264231.08,-9.421,-0.7000000000000001,4.299,0.12660000000000002,0.7553000000000001,0.1723,0.013000000000000001,-0.012,0.003
1670264231.12,-9.416,-0.682,4.338,0.1278,0.7559,0.1698,0.037,-0.009000000000000001,-0.021
1670264231.16,-9.411,-0.742,4.368,0.1275,0.7537,0.1705,0.031,-0.02,-0.01
1670264231.2,-9.346,-0.775,4.345,0.1288,0.756,0.17020000000000002,0.008,-0.029,-0.01
1670264231.24,-9.336,-0.68,4.346,0.1275,0.757,0.17420000000000002,0.026000000000000002,-0.023,-0.012
1670264231.28,-9.501,-0.741,4.335,0.1252,0.7527,0.17470000000000002,0.029,0.0,-0.011
1670264231.32,-9.382,-0.707,4.333,0.1278,0.7559,0.1726,0.013000000000000001,-0.004,0.002
1670264231.36,-9.384,-0.727,4.369,0.1247,0.7558,0.17200000000000001,0.018000000000000002,-0.023,0.0
1670264231.4,-9.418000000000001,-0.666,4.364,0.1264,0.7543000000000001,0.1709,0.021,-0.022,-0.005
1670264231.44,-9.415000000000001,-0.677,4.311,0.13040000000000002,0.7541,0.1723,0.043000000000000003,-0.017,-0.014
1670264231.48,-9.370000000000001,-0.726,4.337,0.1259,0.7531,0.17,0.028,-0.02,-0.012
1670264231.52,-9.367,-0.738,4.341,0.1247,0.7559,0.1704,0.016,-0.029,-0.02
1670264231.559999,-9.449,-0.764,4.248,0.12860000000000002,0.7572,0.1708,-0.005,-0.024,-0.01
1670264231.599999,-9.434000000000001,-0.727,4.282,0.12050000000000001,0.7533000000000001,0.17200000000000001,0.01,-0.017,-0.011
1670264231.639999,-9.406,-0.717,4.259,0.12610000000000002,0.7533000000000001,0.1705,0.019,-0.009000000000000001,-0.011
1670264231.6799989,-9.424,-0.6990000000000001,4.299,0.1217,0.7541,0.1751,0.024,-0.021,-0.013000000000000001
1670264231.719999,-9.434000000000001,-0.719,4.284,0.1263,0.7527,0.1719,0.026000000000000002,-0.021,-0.012
1670264231.759999,-9.447000000000001,-0.729,4.378,0.1247,0.7544000000000001,0.1905,0.013000000000000001,-0.019,-0.006
1670264231.799999,-9.375,-0.718,4.341,0.1267,0.7552,0.15,0.014,-0.023,-0.017
1670264231.839999,-9.385,-0.736,4.3180000000000005,0.1247,0.755,0.1705,0.007,-0.018000000000000002,-0.005
1670264231.879999,-9.391,-0.714,4.339,0.12480000000000001,0.7548,0.1743,0.009000000000000001,-0.018000000000000002,-0.011
1670264231.919999,-9.412,-0.718,4.287,0.1263,0.7549,0.169,0.009000000000000001,-0.02,-0.012
1670264231.959999,-9.398,-0.725,4.324,0.1269,0.7556,0.1718,0.018000000000000002,-0.015,-0.011
1670264231.999999,-9.397,-0.71,4.314,0.1252,0.7557,0.1699,0.023,-0.026000000000000002,-0.013000000000000001
1670264232.039999,-9.432,-0.717,4.322,0.12250000000000001,0.7524000000000001,0.1729,0.021,-0.027,-0.007
1670264232.079999,-9.417,-0.717,4.304,0.1273,0.7588,0.1726,0.022,-0.017,-0.011
1670264232.119999,-9.391,-0.73,4.357,0.1269,0.7578,0.1724,0.027,-0.022,-0.018000000000000002
1670264232.159999,-9.388,-0.782,4.348,0.1242,0.7532,0.1724,0.021,-0.014,-0.015
1670264232.199999,-9.447000000000001,-0.662,4.449,0.12710000000000002,0.7566,0.1729,0.036000000000000004,-0.021,-0.014
1670264232.239999,-9.438,-0.6970000000000001,4.282,0.1259,0.752,0.17320000000000002,0.032,-0.007,0.0
1670264232.279999,-9.41,-0.796,4.249,0.1247,0.7544000000000001,0.1718,0.027,-0.004,-0.021
1670264232.319999,-9.32,-0.711,4.385,0.1287,0.7564000000000001,0.1724,0.009000000000000001,-0.012,0.002
1670264232.359999,-9.417,-0.735,4.361,0.1255,0.7561,0.17220000000000002,0.001,-0.011,0.003
1670264232.399999,-9.402000000000001,-0.654,4.376,0.1247,0.7544000000000001,0.1694,0.02,0.0,-0.009000000000000001
1670264232.439999,-9.447000000000001,-0.753,4.263,0.12510000000000002,0.7556,0.1718,0.029,-0.006,-0.006
1670264232.479999,-9.395,-0.744,4.337,0.1258,0.7541,0.1724,0.011,-0.018000000000000002,-0.007
1670264232.519999,-9.418000000000001,-0.736,4.3180000000000005,0.1258,0.755,0.17070000000000002,0.011,-0.025,-0.02
1670264232.559999,-9.448,-0.662,4.352,0.1272,0.7558,0.171,0.012,-0.022,-0.01
1670264232.599998,-9.416,-0.753,4.378,0.12390000000000001,0.752,0.1704,0.02,-0.002,-0.004
1670264232.639998,-9.39,-0.744,4.258,0.1264,0.7561,0.1706,0.01,0.001,0.003
1670264232.679998,-9.397,-0.714,4.246,0.1273,0.7536,0.1714,0.008,-0.016,0.003
1670264232.719998,-9.397,-0.6940000000000001,4.3260000000000005,0.1232,0.7536,0.17120000000000002,0.027,-0.016,-0.007
1670264232.759998,-9.436,-0.715,4.381,0.12710000000000002,0.7541,0.1685,0.034,-0.013000000000000001,-0.004
1670264232.799998,-9.424,-0.706,4.257,0.12660000000000002,0.7575000000000001,0.1723,0.012,-0.003,0.003
