timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670265743.24,-10.299,-0.369,2.386,0.0102,0.6696000000000001,0.12040000000000001,0.02,-0.016,-0.009000000000000001
1670265743.28,-10.295,-0.223,2.486,0.0143,0.6718000000000001,0.1193,0.017,-0.029,0.0
1670265743.32,-10.286,-0.293,2.4170000000000003,0.012100000000000001,0.6687000000000001,0.11850000000000001,0.02,-0.016,-0.008
1670265743.36,-10.261000000000001,-0.28200000000000003,2.446,0.010100000000000001,0.6684,0.1189,0.021,-0.014,-0.012
1670265743.4,-10.235,-0.317,2.394,0.0114,0.6687000000000001,0.1189,0.01,-0.014,0.0
1670265743.44,-10.27,-0.244,2.414,0.0115,0.6721,0.11720000000000001,0.026000000000000002,-0.012,-0.004
1670265743.48,-10.275,-0.273,2.463,0.010700000000000001,0.6687000000000001,0.1163,0.032,-0.016,-0.006
1670265743.52,-10.271,-0.317,2.426,0.0106,0.6692,0.1207,0.021,-0.012,-0.006
1670265743.559999,-10.271,-0.307,2.432,0.0115,0.6672,0.11950000000000001,0.006,-0.012,-0.005
1670265743.599999,-10.28,-0.28,2.41,0.010100000000000001,0.6687000000000001,0.12050000000000001,0.008,-0.015,0.001
1670265743.639999,-10.277000000000001,-0.28200000000000003,2.432,0.013000000000000001,0.6701,0.11710000000000001,0.017,-0.019,-0.007
1670265743.6799989,-10.274000000000001,-0.29,2.451,0.0119,0.6707000000000001,0.12100000000000001,0.018000000000000002,-0.02,-0.008
1670265743.719999,-10.263,-0.298,2.419,0.009300000000000001,0.671,0.11810000000000001,0.027,-0.025,-0.009000000000000001
1670265743.759999,-10.262,-0.305,2.473,0.0114,0.671,0.11900000000000001,0.018000000000000002,-0.024,-0.01
1670265743.799999,-10.287,-0.299,2.432,0.0146,0.6687000000000001,0.1183,0.015,-0.025,-0.006
1670265743.839999,-10.251,-0.281,2.5140000000000002,0.0114,0.6688000000000001,0.1179,0.017,-0.029,-0.011
1670265743.879999,-10.265,-0.353,2.511,0.0108,0.6695,0.1168,0.02,-0.026000000000000002,-0.009000000000000001
1670265743.919999,-10.258000000000001,-0.294,2.472,0.0126,0.67,0.1208,0.019,-0.013000000000000001,-0.01
1670265743.959999,-10.282,-0.211,2.532,0.009600000000000001,0.668,0.1178,0.022,-0.012,0.003
1670265743.999999,-10.24,-0.335,2.4130000000000003,0.013900000000000001,0.6726000000000001,0.1222,0.022,-0.007,-0.011
1670265744.039999,-10.21,-0.28700000000000003,2.452,0.0119,0.6692,0.11950000000000001,0.024,-0.015,-0.011
1670265744.079999,-10.216000000000001,-0.291,2.453,0.0038,0.667,0.12090000000000001,0.016,-0.02,-0.004
1670265744.119999,-10.277000000000001,-0.295,2.466,0.012100000000000001,0.6692,0.11850000000000001,0.02,-0.01,-0.005
1670265744.159999,-10.205,-0.28,2.5,0.0148,0.672,0.1182,0.015,-0.019,-0.016
1670265744.199999,-10.214,-0.31,2.423,0.0118,0.6718000000000001,0.1207,0.018000000000000002,-0.025,-0.007
1670265744.239999,-10.256,-0.324,2.504,0.013600000000000001,0.6675,0.11900000000000001,0.015,-0.012,-0.002
1670265744.279999,-10.266,-0.341,2.466,0.0117,0.6698000000000001,0.1179,0.016,-0.012,-0.006
1670265744.319999,-10.232000000000001,-0.328,2.485,0.0129,0.6706000000000001,0.11710000000000001,0.009000000000000001,-0.017,0.003
1670265744.359999,-10.268,-0.311,2.428,0.0151,0.6683,0.1193,0.011,-0.024,-0.007
1670265744.399999,-10.278,-0.29,2.498,0.0083,0.6668000000000001,0.129,0.019,-0.016,-0.003
1670265744.439999,-10.257,-0.313,2.428,0.011300000000000001,0.672,0.114,0.019,-0.008,0.0
1670265744.479999,-10.258000000000001,-0.328,2.441,0.0091,0.6711,0.1211,0.007,-0.004,-0.007
1670265744.519999,-10.238,-0.31,2.382,0.0114,0.6706000000000001,0.11670000000000001,0.005,-0.006,0.001
1670265744.559999,-10.252,-0.308,2.3850000000000002,0.0117,0.6677000000000001,0.1242,0.01,-0.011,0.002
1670265744.599998,-10.27,-0.274,2.394,0.0128,0.6709,0.13140000000000002,0.011,-0.007,0.0
1670265744.639998,-10.261000000000001,-0.276,2.384,0.0129,0.67,0.117,0.016,-0.011,0.0
1670265744.679998,-10.27,-0.295,2.354,0.0134,0.6718000000000001,0.11960000000000001,0.034,-0.019,-0.013000000000000001
1670265744.719998,-10.244,-0.26,2.422,0.011000000000000001,0.6697000000000001,0.11950000000000001,0.034,-0.03,-0.019
1670265744.759998,-10.219,-0.324,2.437,0.0106,0.6713,0.1237,0.038,-0.036000000000000004,-0.018000000000000002
1670265744.799998,-10.284,-0.342,2.494,0.0122,0.6719,0.1211,0.05,-0.031,-0.024
1670265744.839998,-10.294,-0.259,2.523,0.0115,0.6686000000000001,0.1189,0.057,-0.025,-0.005
1670265744.879998,-10.239,-0.317,2.532,0.0145,0.6717000000000001,0.1197,0.059000000000000004,-0.01,-0.007
1670265744.919998,-10.203,-0.311,2.535,0.013000000000000001,0.6703,0.11810000000000001,0.059000000000000004,-0.015,-0.023
1670265744.959998,-10.235,-0.389,2.508,0.011600000000000001,0.667,0.12380000000000001,0.038,-0.02,-0.017
1670265744.999998,-10.266,-0.338,2.532,0.013000000000000001,0.6711,0.1232,0.021,-0.011,-0.012
1670265745.039998,-10.201,-0.34700000000000003,2.499,0.012400000000000001,0.6726000000000001,0.1183,0.024,-0.004,-0.014
1670265745.079998,-10.211,-0.314,2.496,0.010100000000000001,0.6718000000000001,0.12010000000000001,0.028,-0.016,-0.018000000000000002
1670265745.119998,-10.227,-0.40800000000000003,2.517,0.013000000000000001,0.6686000000000001,0.11750000000000001,0.036000000000000004,-0.02,-0.023
1670265745.159998,-10.284,-0.417,2.504,0.0098,0.6722,0.1184,0.024,-0.017,-0.02
1670265745.199998,-10.245000000000001,-0.425,2.416,0.013300000000000001,0.6726000000000001,0.1203,-0.016,0.012,0.012
1670265745.239998,-10.290000000000001,-0.322,2.372,0.0122,0.6712,0.1187,-0.024,0.036000000000000004,0.013000000000000001
1670265745.279998,-10.248,-0.29,2.313,0.0135,0.6718000000000001,0.1218,0.008,0.041,0.004
1670265745.319998,-10.256,-0.373,2.278,0.0118,0.6718000000000001,0.1203,0.01,0.005,0.004
1670265745.359998,-10.243,-0.426,2.294,0.0118,0.6715,0.11750000000000001,-0.02,-0.032,-0.002
1670265745.399998,-10.298,-0.332,2.356,0.0123,0.6723,0.11960000000000001,-0.029,-0.055,-0.012
1670265745.439998,-10.263,-0.311,2.476,0.0123,0.674,0.1202,-0.001,-0.063,-0.013000000000000001
1670265745.479998,-10.217,-0.343,2.557,0.010400000000000001,0.6726000000000001,0.12040000000000001,0.021,-0.056,-0.008
1670265745.519998,-10.24,-0.353,2.536,0.0103,0.675,0.1187,0.022,-0.047,0.0
1670265745.559998,-10.27,-0.316,2.525,0.011300000000000001,0.6698000000000001,0.12010000000000001,0.034,-0.022,0.009000000000000001
1670265745.599998,-10.246,-0.278,2.566,0.010100000000000001,0.6705,0.12010000000000001,0.053,0.002,0.008
1670265745.639997,-10.234,-0.292,2.529,0.010100000000000001,0.6714,0.1189,0.055,0.0,0.01
1670265745.679997,-10.261000000000001,-0.341,2.503,0.0105,0.6704,0.1197,0.035,0.003,0.017
1670265745.719997,-10.253,-0.278,2.457,0.0105,0.667,0.1218,0.018000000000000002,-0.002,0.012
1670265745.759997,-10.27,-0.212,2.465,0.0102,0.6707000000000001,0.12090000000000001,0.014,-0.001,0.002
1670265745.799997,-10.271,-0.28300000000000003,2.423,0.0102,0.668,0.1194,0.013000000000000001,-0.003,-0.011
1670265745.839997,-10.259,-0.32,2.423,0.0118,0.669,0.1212,0.003,-0.014,-0.017
1670265745.879997,-10.252,-0.361,2.394,0.0131,0.6708000000000001,0.1216,-0.017,-0.009000000000000001,-0.003
