timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670355404.08,-9.34,-0.234,4.543,-0.6428,-0.3773,0.3769,0.005,0.026000000000000002,-0.045
1670355404.12,-9.329,-0.219,4.577,-0.6426000000000001,-0.378,0.3758,0.0,0.028,-0.048
1670355404.16,-9.363,-0.20800000000000002,4.5520000000000005,-0.644,-0.3775,0.374,0.011,0.024,-0.043000000000000003
1670355404.2,-9.345,-0.229,4.532,-0.6432,-0.37670000000000003,0.3753,0.012,0.026000000000000002,-0.052000000000000005
1670355404.24,-9.369,-0.274,4.579,-0.6415000000000001,-0.3801,0.3744,0.006,0.022,-0.055
1670355404.28,-9.363,-0.253,4.542,-0.6423,-0.3794,0.3753,-0.004,0.018000000000000002,-0.045
1670355404.32,-9.407,-0.149,4.554,-0.6419,-0.3769,0.37260000000000004,-0.003,0.022,-0.039
1670355404.36,-9.329,-0.24,4.507,-0.6432,-0.3776,0.3724,0.005,0.03,-0.056
1670355404.4,-9.315,-0.222,4.506,-0.6405000000000001,-0.3784,0.37320000000000003,0.004,0.025,-0.065
1670355404.44,-9.355,-0.226,4.5200000000000005,-0.6416000000000001,-0.3803,0.3734,0.0,0.017,-0.052000000000000005
1670355404.48,-9.387,-0.223,4.561,-0.6432,-0.3781,0.37360000000000004,-0.007,0.02,-0.045
1670355404.52,-9.363,-0.22,4.571,-0.642,-0.3794,0.37420000000000003,0.001,0.02,-0.049
1670355404.559999,-9.39,-0.277,4.529,-0.6441,-0.3808,0.3759,0.001,0.017,-0.057
1670355404.599999,-9.354000000000001,-0.162,4.555,-0.6418,-0.37720000000000004,0.37420000000000003,0.003,0.01,-0.043000000000000003
1670355404.639999,-9.394,-0.244,4.5200000000000005,-0.6414000000000001,-0.37970000000000004,0.37260000000000004,0.016,0.032,-0.049
1670355404.6799989,-9.375,-0.222,4.477,-0.6437,-0.37920000000000004,0.37220000000000003,0.015,0.038,-0.053
1670355404.719999,-9.355,-0.243,4.474,-0.6429,-0.3781,0.378,0.011,0.034,-0.033
1670355404.759999,-9.352,-0.183,4.511,-0.6417,-0.3781,0.374,0.003,0.028,-0.034
