timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670355635.08,-9.913,-0.077,3.399,-0.6251,-0.3932,0.3133,0.008,0.018000000000000002,-0.058
1670355635.12,-9.912,-0.076,3.404,-0.6246,-0.3941,0.31170000000000003,0.003,0.016,-0.054
1670355635.16,-9.909,-0.064,3.359,-0.6218,-0.39330000000000004,0.3104,0.0,0.027,-0.056
1670355635.2,-9.893,-0.058,3.396,-0.6265000000000001,-0.3942,0.31010000000000004,0.002,0.022,-0.055
1670355635.24,-9.906,-0.076,3.376,-0.6256,-0.3955,0.30820000000000003,0.001,0.018000000000000002,-0.056
1670355635.28,-9.861,-0.081,3.391,-0.629,-0.3955,0.31720000000000004,0.001,0.012,-0.051000000000000004
1670355635.32,-9.964,-0.042,3.396,-0.6234000000000001,-0.3956,0.3103,0.012,0.016,-0.047
1670355635.36,-9.991,-0.058,3.4010000000000002,-0.6217,-0.3932,0.31010000000000004,0.008,0.023,-0.048
1670355635.4,-9.875,-0.08,3.334,-0.6235,-0.3946,0.3111,-0.003,0.023,-0.052000000000000005
1670355635.44,-9.882,-0.082,3.313,-0.6242,-0.3914,0.3103,0.0,0.018000000000000002,-0.053
1670355635.48,-9.904,-0.062,3.373,-0.625,-0.39180000000000004,0.308,0.0,0.01,-0.063
1670355635.52,-9.939,-0.074,3.398,-0.6234000000000001,-0.3905,0.312,0.007,0.007,-0.057
1670355635.559999,-9.907,-0.088,3.371,-0.6229,-0.3935,0.3093,0.001,0.01,-0.058
1670355635.599999,-9.906,-0.123,3.376,-0.6239,-0.39480000000000004,0.31120000000000003,-0.004,0.014,-0.052000000000000005
1670355635.639999,-9.979000000000001,-0.022,3.411,-0.6233000000000001,-0.39440000000000003,0.312,0.013000000000000001,0.013000000000000001,-0.054
1670355635.6799989,-9.916,-0.093,3.42,-0.6242,-0.39230000000000004,0.3103,0.011,0.03,-0.052000000000000005
1670355635.719999,-9.884,-0.094,3.374,-0.6242,-0.39480000000000004,0.3104,0.004,0.026000000000000002,-0.05
1670355635.759999,-9.904,-0.082,3.368,-0.6222,-0.39280000000000004,0.3089,0.011,0.024,-0.046
1670355635.799999,-9.923,-0.065,3.37,-0.6243000000000001,-0.3946,0.3104,0.014,0.015,-0.052000000000000005
1670355635.839999,-9.906,-0.089,3.347,-0.6256,-0.39390000000000003,0.3084,0.011,0.017,-0.057
1670355635.879999,-9.889,-0.092,3.358,-0.6227,-0.3946,0.30960000000000004,-0.006,0.015,-0.053
1670355635.919999,-9.888,-0.07,3.366,-0.6238,-0.39080000000000004,0.3118,-0.009000000000000001,0.019,-0.046
1670355635.959999,-9.925,-0.089,3.342,-0.6231,-0.3911,0.30910000000000004,0.003,0.015,-0.051000000000000004
1670355635.999999,-9.889,-0.101,3.384,-0.6308,-0.3921,0.3106,0.003,0.017,-0.056
1670355636.039999,-9.904,-0.081,3.365,-0.6228,-0.3916,0.3119,0.005,0.017,-0.059000000000000004
1670355636.079999,-9.928,-0.09,3.379,-0.6244000000000001,-0.3922,0.30810000000000004,0.001,0.013000000000000001,-0.05
1670355636.119999,-9.879,-0.10200000000000001,3.3770000000000002,-0.6255000000000001,-0.3935,0.3124,0.005,0.012,-0.049
1670355636.159999,-9.91,-0.122,3.416,-0.6255000000000001,-0.3947,0.313,-0.003,0.008,-0.053
