timestamp, marker
1670342735.401431,left
1670342739.172355,right
1670342743.057005,waiting
1670342747.880317,left
1670342751.654312,right
1670342755.55257,waiting
1670342760.364092,left
1670342764.147524,right
1670342768.037901,waiting
1670342772.856205,left
1670342776.632945,right
1670342780.526878,waiting
1670342785.339308,left
1670342789.114434,right
1670342793.020814,waiting
1670342797.842591,left
1670342801.612771,right
1670342805.505852,waiting
1670342810.315918,left
1670342814.093071,right
1670342817.997752,waiting
1670342822.822655,left
1670342826.601862,right
1670342830.486104,waiting
1670342835.310114,left
1670342839.091249,right
1670342842.998373,waiting
1670342847.821576,left
1670342851.588387,right
1670342855.482028,waiting
