timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1670267492.08,-8.794,-2.035,4.708,0.8009000000000001,0.5811000000000001,-0.002,0.517,0.47000000000000003,0.273
1670267492.12,-9.623,-1.75,3.386,0.8031,0.5753,0.0018000000000000002,0.606,0.301,0.292
1670267492.16,-9.886000000000001,-1.444,2.992,0.8067000000000001,0.5706,0.0004,0.651,0.24,0.215
1670267492.2,-9.321,-1.48,2.6670000000000003,0.8073,0.5636,0.0024000000000000002,0.551,0.227,0.084
1670267492.24,-9.749,-1.631,2.375,0.8124,0.559,0.0078000000000000005,0.441,0.18,0.07200000000000001
1670267492.28,-9.832,-0.987,2.187,0.8055,0.5525,0.0132,0.315,0.313,0.088
1670267492.32,-9.864,-0.711,2.134,0.8103,0.5529000000000001,0.008700000000000001,0.276,0.301,0.085
1670267492.36,-9.985,-0.997,2.189,0.8175,0.5503,0.007500000000000001,0.253,0.164,-0.096
1670267492.4,-10.235,-0.974,2.608,0.8124,0.5529000000000001,0.010400000000000001,0.21,0.023,-0.27
1670267492.44,-9.715,-1.233,2.903,0.8089000000000001,0.5521,0.010400000000000001,0.228,-0.063,-0.458
1670267492.48,-9.657,-1.497,3.169,0.8062,0.5589000000000001,0.013300000000000001,0.219,-0.029,-0.642
1670267492.52,-9.47,-2.223,3.112,0.7987000000000001,0.5643,0.0166,0.125,0.005,-0.664
1670267492.559999,-9.244,-2.535,3.234,0.7943,0.5708,0.0165,-0.056,0.031,-0.562
1670267492.599999,-9.269,-2.995,2.994,0.7896000000000001,0.5759000000000001,0.0172,-0.186,0.058,-0.41100000000000003
1670267492.639999,-9.34,-2.84,3.166,0.7853,0.5817,0.0142,-0.222,0.107,-0.216
1670267492.6799989,-9.393,-3.025,3.263,0.7841,0.5819,0.0166,-0.23,-0.019,-0.121
1670267492.719999,-9.126,-2.976,3.476,0.7845000000000001,0.5846,0.014400000000000001,-0.18,-0.20600000000000002,-0.011
1670267492.759999,-8.881,-2.847,3.59,0.7846000000000001,0.5838,0.0142,-0.065,-0.352,0.08700000000000001
1670267492.799999,-9.215,-2.375,3.874,0.781,0.5803,0.0219,0.099,-0.338,0.171
1670267492.839999,-9.143,-2.238,4.062,0.7807000000000001,0.5767,0.028900000000000002,0.28800000000000003,-0.23800000000000002,0.231
1670267492.879999,-9.352,-2.013,4.273,0.784,0.5708,0.034300000000000004,0.337,-0.153,0.296
1670267492.919999,-9.233,-1.996,4.204,0.787,0.5650000000000001,0.0369,0.231,-0.098,0.308
1670267492.959999,-9.15,-1.726,4.288,0.7877000000000001,0.5592,0.042,0.069,-0.13,0.31
1670267492.999999,-8.941,-1.478,4.4,0.7866000000000001,0.5584,0.0429,-0.136,-0.16,0.279
1670267493.039999,-9.167,-1.31,4.4670000000000005,0.7891,0.5543,0.0426,-0.199,-0.17400000000000002,0.281
1670267493.079999,-9.264,-0.995,4.715,0.7893,0.5518000000000001,0.045200000000000004,-0.12,-0.188,0.218
1670267493.119999,-9.105,-0.8260000000000001,4.704,0.7912,0.5484,0.0495,-0.031,-0.158,0.21
1670267493.159999,-9.367,-0.777,4.513,0.7915000000000001,0.5467000000000001,0.051300000000000005,0.036000000000000004,-0.052000000000000005,0.199
