timestamp,marker
1670262136.554159,left
1670262136.554159,right
1670262152.180725,left
1670262152.180725,right
1670262157.861739,left
1670262157.861739,right
1670262163.534064,left
1670262163.534064,right
1670262169.236601,left
1670262169.236601,right
1670262174.92401,left
1670262174.92401,right
1670262180.591439,left
1670262180.591439,right
1670262186.286161,left
1670262186.286161,right
1670262191.985315,left
1670262191.985315,right
1670262197.643277,left
1670262197.643277,right
1670262203.336245,left
1670262203.336245,right
1670262209.032721,left
1670262209.032721,right
1670262214.693097,left
1670262214.693097,right
1670262220.376296,left
1670262220.376296,right
1670262226.074464,left
1670262226.074464,right
1670262231.750393,left
1670262231.750393,right
1670262237.451065,left
1670262237.451065,right
1670262243.138207,left
1670262243.138207,right
1670262248.825118,left
1670262248.825118,right
1670262254.499562,left
1670262254.499562,right
1670262260.192065,left
1670262260.192065,right
1670262265.875551,left
1670262265.875551,right
